L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
1.259771,1.46229,1.469319,1.460674,0.812062,1.022145,1.022849,0.996755,0.590301,0.55449,0.603134,0.651199,0.471826,0.494711,0.455424,0.403446,0.077551,0.094092,0.100108,0.066736,0.094323,0.056314,0.062167,0.048417
1.257372,1.459826,1.467051,1.458316,0.809173,1.019076,1.019808,0.993657,0.589783,0.553449,0.602077,0.650246,0.471634,0.49464,0.455336,0.40339,0.077475,0.092559,0.098691,0.065546,0.095086,0.056338,0.062138,0.048371
1.254852,1.457244,1.464667,1.45583,0.806298,1.016012,1.016774,0.990562,0.589269,0.552408,0.601013,0.649305,0.471432,0.494565,0.455242,0.40333,0.077435,0.090957,0.097228,0.064347,0.095884,0.056371,0.062113,0.048325
1.252247,1.454577,1.4622,1.453247,0.803439,1.012955,1.013748,0.987472,0.588761,0.551374,0.599953,0.648383,0.471221,0.494485,0.455143,0.403268,0.077431,0.089306,0.095737,0.063153,0.09672,0.056413,0.062091,0.048278
1.249584,1.451857,1.459679,1.450596,0.800599,1.009904,1.010731,0.984385,0.588261,0.550359,0.598907,0.64749,0.471002,0.494401,0.455039,0.403203,0.077462,0.087626,0.094233,0.061975,0.097598,0.056461,0.062073,0.048232
1.246887,1.44911,1.457125,1.4479,0.797781,1.00686,1.007725,0.981304,0.587773,0.549373,0.597886,0.646636,0.470777,0.494314,0.454931,0.403135,0.077528,0.085932,0.092728,0.060823,0.098522,0.056516,0.062059,0.048188
1.244173,1.446356,1.454557,1.445179,0.794987,1.003825,1.004731,0.978229,0.587301,0.548428,0.596903,0.64583,0.470546,0.494225,0.454819,0.403067,0.077626,0.08424,0.091235,0.059707,0.099498,0.056575,0.062049,0.048147
1.241454,1.44361,1.451987,1.442444,0.792222,1.000799,1.001749,0.975161,0.586847,0.547533,0.595967,0.645081,0.470314,0.494134,0.454704,0.402998,0.077753,0.082564,0.089764,0.058634,0.10053,0.056637,0.062042,0.048111
1.238738,1.440881,1.449422,1.439705,0.789489,0.997783,0.998781,0.972102,0.586415,0.546698,0.595089,0.644397,0.470081,0.494045,0.454588,0.402931,0.077904,0.08092,0.088328,0.057614,0.101623,0.0567,0.062038,0.04808
1.236025,1.438171,1.446863,1.436968,0.786793,0.994779,0.995827,0.969052,0.58601,0.545928,0.594274,0.643783,0.469852,0.493957,0.45447,0.402865,0.078075,0.079322,0.086936,0.056653,0.102784,0.056763,0.062037,0.048057
1.233316,1.43548,1.44431,1.434233,0.784138,0.991786,0.992889,0.966013,0.585635,0.545225,0.593526,0.643238,0.469629,0.493872,0.454354,0.402803,0.078261,0.077784,0.085602,0.055761,0.104018,0.056823,0.062038,0.048043
1.230608,1.432804,1.441758,1.4315,0.781527,0.988806,0.989967,0.962985,0.58529,0.54459,0.592844,0.642761,0.469416,0.493793,0.454239,0.402745,0.078455,0.076317,0.084333,0.054942,0.105328,0.056881,0.062039,0.048039
1.227894,1.430138,1.439202,1.428767,0.778966,0.985841,0.987061,0.95997,0.584978,0.54402,0.592226,0.642349,0.469217,0.49372,0.454127,0.402694,0.078652,0.074931,0.083138,0.054203,0.106722,0.056935,0.06204,0.048047
1.225173,1.427474,1.436635,1.426031,0.776458,0.98289,0.984172,0.956969,0.584696,0.543509,0.591667,0.641995,0.469032,0.493653,0.454019,0.402651,0.078847,0.073632,0.082021,0.053544,0.108202,0.056987,0.06204,0.048068
1.222438,1.424807,1.434051,1.423286,0.774008,0.979955,0.981299,0.953983,0.584443,0.543053,0.591165,0.641694,0.468866,0.493594,0.453916,0.402616,0.079037,0.072423,0.080987,0.052965,0.109773,0.057035,0.062038,0.048103
1.219687,1.42213,1.431445,1.42053,0.771622,0.977036,0.978443,0.951013,0.584217,0.542648,0.590714,0.64144,0.468719,0.493544,0.453819,0.402591,0.079218,0.071306,0.080036,0.052465,0.11144,0.05708,0.062032,0.048154
1.216916,1.419441,1.428814,1.417759,0.769302,0.974134,0.975604,0.948059,0.584015,0.542291,0.590313,0.641228,0.468594,0.493501,0.453729,0.402575,0.079388,0.070281,0.079167,0.052037,0.113204,0.057123,0.062023,0.048219
1.214124,1.416735,1.426156,1.41497,0.767055,0.971251,0.972782,0.945121,0.583834,0.541979,0.589959,0.641056,0.468492,0.493467,0.453646,0.402569,0.079546,0.069349,0.07838,0.051676,0.115071,0.057165,0.062008,0.048302
1.21131,1.414012,1.423468,1.412161,0.764885,0.968385,0.969976,0.942202,0.583671,0.54171,0.589652,0.64092,0.468414,0.493439,0.45357,0.402572,0.079691,0.068509,0.077673,0.051377,0.117041,0.057207,0.061989,0.0484
1.208474,1.411269,1.420749,1.409329,0.762798,0.96554,0.967186,0.939301,0.583524,0.541484,0.58939,0.640817,0.468358,0.493418,0.453501,0.402583,0.079822,0.067758,0.077041,0.051132,0.119119,0.057251,0.061966,0.048516
1.205615,1.408506,1.418,1.406475,0.760798,0.962713,0.964414,0.93642,0.58339,0.541298,0.589173,0.640746,0.468324,0.4934,0.45344,0.402602,0.079939,0.067094,0.076482,0.050933,0.121307,0.057298,0.06194,0.048649
1.202734,1.405724,1.415222,1.403597,0.758891,0.959908,0.961661,0.933559,0.583269,0.54115,0.588996,0.640702,0.468311,0.493385,0.453385,0.402626,0.080043,0.066512,0.07599,0.050774,0.123606,0.057352,0.061914,0.0488
1.199833,1.402921,1.412415,1.400698,0.757084,0.957123,0.958927,0.93072,0.583158,0.541036,0.588856,0.640682,0.468317,0.493371,0.453339,0.402655,0.080134,0.066005,0.07556,0.050648,0.12602,0.057413,0.061891,0.048971
1.196912,1.4001,1.40958,1.397777,0.755383,0.954361,0.956215,0.927904,0.583056,0.540951,0.58875,0.640681,0.468338,0.493355,0.453299,0.402687,0.080213,0.065566,0.075183,0.050549,0.12855,0.057484,0.061876,0.049162
1.193974,1.39726,1.40672,1.394836,0.753794,0.951623,0.953529,0.925112,0.582961,0.54089,0.58867,0.640696,0.468372,0.493335,0.453266,0.402719,0.080282,0.065189,0.074854,0.05047,0.131197,0.057568,0.061873,0.049374
1.191019,1.394402,1.403837,1.391877,0.752324,0.94891,0.950872,0.922347,0.582872,0.54085,0.588614,0.640722,0.468415,0.493311,0.453239,0.40275,0.080342,0.064864,0.074566,0.050408,0.133963,0.057667,0.061887,0.049612
1.188049,1.391528,1.400931,1.388901,0.750981,0.946226,0.948247,0.919609,0.582788,0.540824,0.588576,0.640757,0.468463,0.49328,0.453216,0.402777,0.080394,0.064585,0.074313,0.050358,0.136849,0.057783,0.061923,0.049876
1.185067,1.388638,1.398006,1.385911,0.749771,0.943573,0.945657,0.916903,0.58271,0.54081,0.588552,0.640798,0.468513,0.49324,0.453195,0.402797,0.08044,0.064344,0.074087,0.050316,0.139855,0.057921,0.061983,0.05017
1.182072,1.385733,1.395064,1.382908,0.748702,0.940953,0.943107,0.914229,0.582636,0.540804,0.58854,0.640843,0.46856,0.493191,0.453176,0.40281,0.08048,0.064135,0.073885,0.050279,0.142981,0.058084,0.062068,0.050498
1.179066,1.382815,1.392106,1.379894,0.747781,0.938371,0.940598,0.911591,0.582566,0.540803,0.588537,0.64089,0.468599,0.493132,0.453156,0.402812,0.080515,0.063953,0.0737,0.050245,0.146226,0.058276,0.062182,0.050861
1.17605,1.379883,1.389134,1.37687,0.747015,0.935831,0.938134,0.908989,0.582502,0.540805,0.58854,0.640938,0.468625,0.49306,0.453132,0.402803,0.080547,0.063792,0.073528,0.050213,0.149589,0.058502,0.062325,0.051263
1.173025,1.37694,1.38615,1.373837,0.746409,0.933337,0.935718,0.906427,0.582443,0.540809,0.588548,0.640986,0.468636,0.492975,0.453102,0.40278,0.080576,0.063648,0.073368,0.05018,0.153067,0.058766,0.062499,0.051707
1.169993,1.373985,1.383155,1.370797,0.74597,0.930894,0.933354,0.903903,0.582388,0.540813,0.588559,0.641035,0.468627,0.492876,0.453063,0.402744,0.080602,0.063517,0.073215,0.050146,0.156658,0.059074,0.062706,0.052195
1.166953,1.371019,1.380151,1.36775,0.745702,0.928506,0.931046,0.901419,0.582337,0.540817,0.588571,0.641083,0.468595,0.492762,0.453011,0.402695,0.080626,0.063395,0.073068,0.050112,0.160358,0.059432,0.062948,0.052732
